Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
103,13.1094346,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,38097,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=38097 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 105],Large_Download,Anomalous
104,13.1094346,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,39437,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=39437 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 105],Large_Download,Anomalous
105,13.1094346,0.0,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,404,Application Data,Large_Download,Anomalous
106,13.1535958,0.04416119999999957,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,517,12657,552,0,,,,,58,443  >  63074 [ACK] Seq=517 Ack=12657 Win=552 Len=0,Large_Download,Anomalous
107,13.1563725,0.0027767000000000763,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,517,13997,552,0,,,,,58,443  >  63074 [ACK] Seq=517 Ack=13997 Win=552 Len=0,Large_Download,Anomalous
108,13.1563735,1.0000000010279564e-06,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,517,15669,552,0,,,,,58,443  >  63074 [ACK] Seq=517 Ack=15669 Win=552 Len=0,Large_Download,Anomalous
109,13.1563742,6.99999999298484e-07,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,517,17048,552,0,,,,,58,443  >  63074 [ACK] Seq=517 Ack=17048 Win=552 Len=0,Large_Download,Anomalous
110,13.156375,8.000000004670937e-07,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,97,Application Data,Large_Download,Anomalous
111,13.1578308,0.0014557999999986748,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,556,21068,552,0,,,,,58,443  >  63074 [ACK] Seq=556 Ack=21068 Win=552 Len=0,Large_Download,Anomalous
112,13.1578319,1.1000000004202093e-06,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,556,23748,552,0,,,,,58,443  >  63074 [ACK] Seq=556 Ack=23748 Win=552 Len=0,Large_Download,Anomalous
113,13.1591908,0.0013588999999996076,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,556,25557,552,0,,,,,58,443  >  63074 [ACK] Seq=556 Ack=25557 Win=552 Len=0,Large_Download,Anomalous
114,13.159192,1.1999999998124622e-06,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,556,29577,552,0,,,,,58,443  >  63074 [ACK] Seq=556 Ack=29577 Win=552 Len=0,Large_Download,Anomalous
115,13.1592604,6.840000000174484e-05,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,556,32737,552,0,,,,,58,443  >  63074 [ACK] Seq=556 Ack=32737 Win=552 Len=0,Large_Download,Anomalous
116,13.1592838,2.3399999999895726e-05,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,556,36757,552,0,,,,,58,443  >  63074 [ACK] Seq=556 Ack=36757 Win=552 Len=0,Large_Download,Anomalous
117,13.1596951,0.00041129999999967026,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,556,39437,552,0,,,,,58,443  >  63074 [ACK] Seq=556 Ack=39437 Win=552 Len=0,Large_Download,Anomalous
118,13.1608507,0.0011555999999988131,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,556,41127,552,0,,,,,58,443  >  63074 [ACK] Seq=556 Ack=41127 Win=552 Len=0,Large_Download,Anomalous
119,13.1699776,0.009126900000000049,10.33.33.40,10.33.33.107,DHCP,,,,,False,,,,,,,,,324,DHCP Request  - Transaction ID 0xe8b9643e,Large_Download,Anomalous
120,13.1973605,0.027382900000000987,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,41127,556,511,0,,,,,54,63074  >  443 [ACK] Seq=41127 Ack=556 Win=511 Len=0,Large_Download,Anomalous
121,13.2614043,0.06404380000000032,104.18.39.21,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,143,Application Data,Large_Download,Anomalous
122,13.3013459,0.0399415999999988,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,377,Application Data,Large_Download,Anomalous
123,13.3014861,0.00014020000000058985,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,871,Application Data,Large_Download,Anomalous
124,13.3015272,4.110000000068226e-05,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,41127,1688,507,0,,,,,54,63074  >  443 [ACK] Seq=41127 Ack=1688 Win=507 Len=0,Large_Download,Anomalous
125,13.3015976,7.039999999847169e-05,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Large_Download,Anomalous
126,13.3018708,0.0002732000000005286,10.33.33.87,104.18.39.21,TCP,60433,443,ACK,,False,120,110,252,0,,,,,54,60433  >  443 [ACK] Seq=120 Ack=110 Win=252 Len=0,Large_Download,Anomalous
127,13.3041612,0.0022903999999996927,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Large_Download,Anomalous
128,13.3642854,0.06012420000000063,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,349,Application Data,Large_Download,Anomalous
129,13.3643638,7.839999999958991e-05,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,871,Application Data,Large_Download,Anomalous
130,13.3643823,1.8500000001253625e-05,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,41162,2823,511,0,,,,,54,63074  >  443 [ACK] Seq=41162 Ack=2823 Win=511 Len=0,Large_Download,Anomalous
131,13.3662286,0.0018462999999986351,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Large_Download,Anomalous
132,13.4057565,0.03952790000000128,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,41162,2854,511,0,,,,,54,63074  >  443 [ACK] Seq=41162 Ack=2854 Win=511 Len=0,Large_Download,Anomalous
133,14.351505,0.9457484999999988,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,599,Application Data,Large_Download,Anomalous
134,14.3515093,4.300000000512227e-06,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,3395,41162,552,1340,,,,,1398,443  >  63074 [ACK] Seq=3395 Ack=41162 Win=552 Len=1340 [TCP PDU reassembled in 136],Large_Download,Anomalous
135,14.3515721,6.280000000025154e-05,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,41162,4735,511,0,,,,,54,63074  >  443 [ACK] Seq=41162 Ack=4735 Win=511 Len=0,Large_Download,Anomalous
136,14.3516455,7.33999999997792e-05,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,1000,Application Data,Large_Download,Anomalous
137,14.3517572,0.0001116999999997148,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Large_Download,Anomalous
138,14.3517719,1.4699999999479019e-05,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,41162,5708,508,0,,,,,54,63074  >  443 [ACK] Seq=41162 Ack=5708 Win=508 Len=0,Large_Download,Anomalous
139,14.9899769,0.638205000000001,10.33.33.87,52.104.91.53,TCP,57595,443,"FIN,ACK",,False,1,1,255,0,,,,,54,"57595  >  443 [FIN, ACK] Seq=1 Ack=1 Win=255 Len=0",Large_Download,Anomalous
140,15.2534122,0.2634352999999994,52.104.91.53,10.33.33.87,TCP,443,57595,"FIN,ACK",,False,1,2,255,0,,,,,58,"443  >  57595 [FIN, ACK] Seq=1 Ack=2 Win=255 Len=0",Large_Download,Anomalous
141,15.2534983,8.610000000075502e-05,10.33.33.87,52.104.91.53,TCP,57595,443,ACK,,False,2,2,255,0,,,,,54,57595  >  443 [ACK] Seq=2 Ack=2 Win=255 Len=0,Large_Download,Anomalous
142,15.4385922,0.18509390000000003,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,370,Application Data,Large_Download,Anomalous
143,15.438771,0.00017879999999870222,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,6020,41162,552,1340,,,,,1398,443  >  63074 [ACK] Seq=6020 Ack=41162 Win=552 Len=1340 [TCP PDU reassembled in 148],Large_Download,Anomalous
144,15.4388623,9.130000000112659e-05,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,41162,7360,511,0,,,,,54,63074  >  443 [ACK] Seq=41162 Ack=7360 Win=511 Len=0,Large_Download,Anomalous
145,15.4687286,0.029866300000000123,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,7360,41162,552,1340,,,,,1398,443  >  63074 [ACK] Seq=7360 Ack=41162 Win=552 Len=1340 [TCP PDU reassembled in 148],Large_Download,Anomalous
146,15.4706695,0.001940899999999246,104.18.32.47,10.33.33.87,TCP,443,63074,"PSH,ACK",,False,8700,41162,552,1340,,,,,1398,"443  >  63074 [PSH, ACK] Seq=8700 Ack=41162 Win=552 Len=1340 [TCP PDU reassembled in 148]",Large_Download,Anomalous
147,15.4707861,0.00011660000000013326,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,41162,10040,511,0,,,,,54,63074  >  443 [ACK] Seq=41162 Ack=10040 Win=511 Len=0,Large_Download,Anomalous
148,15.4708643,7.82000000008054e-05,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,926,Application Data,Large_Download,Anomalous
