Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
7714,307.1004596,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,610923,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=610923 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7718],Full_Port_Scan,Anomalous
7715,307.1004596,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,612263,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=612263 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7718],Full_Port_Scan,Anomalous
7716,307.1004596,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,613603,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=613603 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7718],Full_Port_Scan,Anomalous
7717,307.10054,8.040000000164582e-05,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,304063,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=304063 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7718,307.1005609,2.0899999981338624e-05,10.33.33.87,4.145.11.36,TLSV1.3,,,,,False,,,,,,,,,1394,Application Data,Full_Port_Scan,Anomalous
7719,307.1005609,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,616283,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=616283 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7733],Full_Port_Scan,Anomalous
7720,307.1005609,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,617623,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=617623 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7733],Full_Port_Scan,Anomalous
7721,307.1005609,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,618963,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=618963 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7733],Full_Port_Scan,Anomalous
7722,307.1020402,0.0014792999999713174,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,306743,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=306743 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7723,307.1020411,9.000000318337698e-07,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,309423,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=309423 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7724,307.102116,7.490000001553199e-05,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,620303,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=620303 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7733],Full_Port_Scan,Anomalous
7725,307.102116,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,621643,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=621643 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7733],Full_Port_Scan,Anomalous
7726,307.102116,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,622983,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=622983 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7733],Full_Port_Scan,Anomalous
7727,307.102116,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,624323,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=624323 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7733],Full_Port_Scan,Anomalous
7728,307.102116,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,625663,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=625663 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7733],Full_Port_Scan,Anomalous
7729,307.102116,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,627003,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=627003 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7733],Full_Port_Scan,Anomalous
7730,307.102116,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,628343,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=628343 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7733],Full_Port_Scan,Anomalous
7731,307.102116,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,629683,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=629683 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7733],Full_Port_Scan,Anomalous
7732,307.1022292,0.00011319999998704589,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,312103,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=312103 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7733,307.1022774,4.819999998062485e-05,10.33.33.87,4.145.11.36,TLSV1.3,,,,,False,,,,,,,,,1394,Application Data,Full_Port_Scan,Anomalous
7734,307.1022774,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,632363,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=632363 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7746],Full_Port_Scan,Anomalous
7735,307.1022774,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,633703,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=633703 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7746],Full_Port_Scan,Anomalous
7736,307.1022774,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,635043,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=635043 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7746],Full_Port_Scan,Anomalous
7737,307.1033173,0.0010399000000234082,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,316123,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=316123 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7738,307.1033829,6.559999997080013e-05,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,636383,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=636383 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7746],Full_Port_Scan,Anomalous
7739,307.1033829,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,637723,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=637723 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7746],Full_Port_Scan,Anomalous
7740,307.1033829,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,639063,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=639063 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7746],Full_Port_Scan,Anomalous
7741,307.1033829,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,640403,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=640403 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7746],Full_Port_Scan,Anomalous
7742,307.1033829,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,641743,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=641743 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7746],Full_Port_Scan,Anomalous
7743,307.1033829,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,643083,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=643083 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7746],Full_Port_Scan,Anomalous
